id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual,label
8001507543000140.0,215.283854793059,32.137778511645,8001.0,507543.0,140.0,REX,0.0010000000474974513,R7,0.9599999785423279,0.1599999964237213,1.0,1.0,Low Surface Brightness Galaxy
8000293846004814.0,215.915674074061,-6.420226851193,8000.0,293846.0,4814.0,REX,0.0010000000474974513,R3,0.26499998569488525,0.09000000357627869,1.0,1.0,Low Surface Brightness Galaxy
8000472161003256.0,216.327106963563,25.283152081278,8000.0,472161.0,3256.0,EXP,0.01600000075995922,E3,0.42500001192092896,0.04399999976158142,1.0,1.0,Low Surface Brightness Galaxy
8000474766002907.0,216.581926967111,25.766062860506,8000.0,474766.0,2907.0,REX,0.0,R4,0.6019999980926514,0.04699999839067459,1.0,1.0,Low Surface Brightness Galaxy
8000445575003594.0,216.916707191393,20.310984664757,8000.0,445575.0,3594.0,REX,0.0,R5,1.2309999465942383,0.39100000262260437,1.0,1.0,Low Surface Brightness Galaxy
8000365756003760.0,217.569675006056,6.038063155279,8000.0,365756.0,3760.0,REX,0.0020000000949949026,R2,0.574999988079071,0.24799999594688416,1.0,1.0,Low Surface Brightness Galaxy
8000461652000449.0,219.066545749682,23.15163317687,8000.0,461652.0,449.0,PSF,0.0,P9,1.2860000133514404,0.4050000011920929,1.0,1.0,Low Surface Brightness Galaxy
8000360028000972.0,220.14310244832,4.921475838796,8000.0,360028.0,972.0,EXP,0.007000000216066837,E3,0.460999995470047,0.041999999433755875,1.0,1.0,Low Surface Brightness Galaxy
8000394270004392.0,220.893987916014,11.103922394469,8000.0,394270.0,4392.0,PSF,0.0010000000474974513,P6,2.015000104904175,0.3479999899864197,1.0,1.0,Low Surface Brightness Galaxy
8000450982000168.0,220.923412520352,21.132335026337,8000.0,450982.0,168.0,PSF,0.20200000703334808,P6,0.421999990940094,0.10999999940395355,1.0,0.0,Low Surface Brightness Galaxy
8001625198001689.0,221.340385309174,62.762865842262,8001.0,625198.0,1689.0,PSF,0.017000000923871994,P1,0.6179999709129333,0.23100000619888306,0.0,0.0,Low Surface Brightness Galaxy
8000459006000960.0,221.591380320365,22.667543180384,8000.0,459006.0,960.0,EXP,0.10899999737739563,E3,0.3409999907016754,0.11900000274181366,1.0,1.0,Low Surface Brightness Galaxy
8000481246004328.0,221.945259488531,27.10922424355,8000.0,481246.0,4328.0,EXP,0.008999999612569809,E6,0.4950000047683716,0.08799999952316284,1.0,1.0,Low Surface Brightness Galaxy
8000474791004235.0,223.573353964212,25.856852861158,8000.0,474791.0,4235.0,DEV,0.003000000026077032,D2,0.4650000035762787,0.06499999761581421,1.0,1.0,Low Surface Brightness Galaxy
8000318304001110.0,224.154408094123,-2.322072491666,8000.0,318304.0,1110.0,REX,0.004999999888241291,R5,0.9739999771118164,0.14100000262260437,1.0,1.0,Low Surface Brightness Galaxy
8000293879002335.0,224.225894562588,-6.550954768043,8000.0,293879.0,2335.0,PSF,0.0,P9,1.659999966621399,0.5759999752044678,1.0,0.0,Low Surface Brightness Galaxy
8000502667003726.0,224.544407838695,31.316624665538,8000.0,502667.0,3726.0,REX,0.0020000000949949026,R7,0.996999979019165,0.19699999690055847,1.0,1.0,Low Surface Brightness Galaxy
8000464317003946.0,224.691988811923,23.832319493695,8000.0,464317.0,3946.0,REX,0.0010000000474974513,R7,1.1390000581741333,0.25200000405311584,1.0,1.0,Low Surface Brightness Galaxy
